"","SID","Age","Sex","Experimenter","Entered.by","Language","Exclude","Exclude_reason","Knower_level","Counterbalance","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","CP_subset","Numerosity"
"110","112219-D",4.928131417,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","5",8,"3","0","0","Distracted","CP","Large"
"111","112219-F",4.358658453,"M","AY","RMS","English",0,"","2","A","SHARING","Set-matching","1",3,"3","1","0","","Subset","Small"
"112","112219-F",4.358658453,"M","AY","RMS","English",0,"","2","A","SHARING","Set-matching","2",4,"4","1","0","","Subset","Small"
"113","112219-F",4.358658453,"M","AY","RMS","English",0,"","2","A","SHARING","Set-matching","3",10,"10","1","0","","Subset","Large"
"114","112219-F",4.358658453,"M","AY","RMS","English",0,"","2","A","SHARING","Set-matching","4",6,"6","1","0","","Subset","Large"
"115","112219-F",4.358658453,"M","AY","RMS","English",0,"","2","A","SHARING","Set-matching","5",8,"8","1","0","","Subset","Large"
"116","112219-L",4.167008898,"M","AY","RMS","English",0,"","3","B","SHARING","Set-matching","1",4,"3","0","0","","Subset","Small"
"117","112219-L",4.167008898,"M","AY","RMS","English",0,"","3","B","SHARING","Set-matching","2",3,"5","0","0","","Subset","Small"
"118","112219-L",4.167008898,"M","AY","RMS","English",0,"","3","B","SHARING","Set-matching","3",8,"9","0","0","","Subset","Large"
"119","112219-L",4.167008898,"M","AY","RMS","English",0,"","3","B","SHARING","Set-matching","4",6,"7","0","0","","Subset","Large"
"120","112219-L",4.167008898,"M","AY","RMS","English",0,"","3","B","SHARING","Set-matching","5",10,"9","0","1","some kind of counting, but not numbers","Subset","Large"
"121","112219-E",4.613278576,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"122","112219-E",4.613278576,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"123","112219-E",4.613278576,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","3",10,"10","1","0","","CP","Large"
"124","112219-E",4.613278576,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
"125","112219-E",4.613278576,"M","AY","RMS","English",0,"","CP","A","SHARING","Set-matching","5",8,"10","0","0","","CP","Large"
"126","112319-NM",3.707049966,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","1",4,"2","0","0","","CP","Small"
"127","112319-NM",3.707049966,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","2",3,"2","0","0","","CP","Small"
"128","112319-NM",3.707049966,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","3",8,"5","0","0","","CP","Large"
"129","112319-NM",3.707049966,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
"130","112319-NM",3.707049966,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","5",10,"7","0","0","","CP","Large"
"131","112319-LM",3.707049966,"F","AY","AY","English",0,"","4","B","SHARING","Set-matching","1",4,"3","0","0","","Subset","Small"
"132","112319-LM",3.707049966,"F","AY","AY","English",0,"","4","B","SHARING","Set-matching","2",3,"3","1","0","","Subset","Small"
"133","112319-LM",3.707049966,"F","AY","AY","English",0,"","4","B","SHARING","Set-matching","3",8,"6","0","0","","Subset","Large"
"134","112319-LM",3.707049966,"F","AY","AY","English",0,"","4","B","SHARING","Set-matching","4",6,"7","0","0","","Subset","Large"
"135","112319-LM",3.707049966,"F","AY","AY","English",0,"","4","B","SHARING","Set-matching","5",10,"10","1","0","","Subset","Large"
"136","112319-A",4.971937029,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","1",4,"4","1","0","","CP","Small"
"137","112319-A",4.971937029,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","2",3,"4","0","0","","CP","Small"
"138","112319-A",4.971937029,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","3",8,"5","0","0","","CP","Large"
"139","112319-A",4.971937029,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","4",6,"8","0","0","","CP","Large"
"140","112319-A",4.971937029,"F","AY","AY","English",0,"","CP","B","SHARING","Set-matching","5",10,"10","1","0","","CP","Large"
"141","112319-LD",4.640657084,"M","AY","AY","English",0,"","CP","B","SHARING","Set-matching","1",4,"4","1","0","","CP","Small"
"142","112319-LD",4.640657084,"M","AY","AY","English",0,"","CP","B","SHARING","Set-matching","2",3,"3","1","0","","CP","Small"
"143","112319-LD",4.640657084,"M","AY","AY","English",0,"","CP","B","SHARING","Set-matching","3",8,"8","1","0","","CP","Large"
"144","112319-LD",4.640657084,"M","AY","AY","English",0,"","CP","B","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
"145","112319-LD",4.640657084,"M","AY","AY","English",0,"","CP","B","SHARING","Set-matching","5",10,"10","1","0","","CP","Large"
"146","112319-J",3.208761123,"M","AY","AY","English",0,"","2","A","SHARING","Set-matching","1",3,"1","0","0","","Subset","Small"
"147","112319-J",3.208761123,"M","AY","AY","English",0,"","2","A","SHARING","Set-matching","2",4,"3","0","0","","Subset","Small"
"148","112319-J",3.208761123,"M","AY","AY","English",0,"","2","A","SHARING","Set-matching","3",10,"2","0","0","","Subset","Large"
"149","112319-J",3.208761123,"M","AY","AY","English",0,"","2","A","SHARING","Set-matching","4",6,"3","0","0","","Subset","Large"
"150","112319-J",3.208761123,"M","AY","AY","English",0,"","2","A","SHARING","Set-matching","5",8,"4","0","0","","Subset","Large"
"151","112319-LW",3.422313484,"F","AY","AY","English",0,"","1","A","SHARING","Set-matching","1",3,"3","1","0","","Subset","Small"
"152","112319-LW",3.422313484,"F","AY","AY","English",0,"","1","A","SHARING","Set-matching","2",4,"4","1","1","","Subset","Small"
"153","112319-LW",3.422313484,"F","AY","AY","English",0,"","1","A","SHARING","Set-matching","3",10,"9","0","1","","Subset","Large"
"154","112319-LW",3.422313484,"F","AY","AY","English",0,"","1","A","SHARING","Set-matching","4",6,"8","0","1","","Subset","Large"
"155","112319-LW",3.422313484,"F","AY","AY","English",0,"","1","A","SHARING","Set-matching","5",8,"7","0","1","","Subset","Large"
"156","102619-NI",4.082135524,"F","EL","NS","English",0,"","CP","B","SHARING","Set-matching","1",4,"3","0","0","","CP","Small"
"157","102619-NI",4.082135524,"F","EL","NS","English",0,"","CP","B","SHARING","Set-matching","2",3,"3","1","0","","CP","Small"
"158","102619-NI",4.082135524,"F","EL","NS","English",0,"","CP","B","SHARING","Set-matching","3",8,"10","0","0","","CP","Large"
"159","102619-NI",4.082135524,"F","EL","NS","English",0,"","CP","B","SHARING","Set-matching","4",6,"9","0","0","","CP","Large"
"160","102619-NI",4.082135524,"F","EL","NS","English",0,"","CP","B","SHARING","Set-matching","5",10,"12","0","0","","CP","Large"
"161","112419-C",4.375085558,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"162","112419-C",4.375085558,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"163","112419-C",4.375085558,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","3",10,"13","0","0","","CP","Large"
"164","112419-C",4.375085558,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","4",6,"7","0","0","","CP","Large"
"165","112419-C",4.375085558,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","5",8,"8","1","0","","CP","Large"
"166","112419-W",3.953456537,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"167","112419-W",3.953456537,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"168","112419-W",3.953456537,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","3",10,"10","1","0","","CP","Large"
"169","112419-W",3.953456537,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","4",6,"13","0","0","","CP","Large"
"170","112419-W",3.953456537,"F","OM","OM","English",0,"","CP","A","SHARING","Set-matching","5",8,"13","0","0","","CP","Large"
"171","113019-K",3.627652293,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"172","113019-K",3.627652293,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","2",4,"7","0","0","","CP","Small"
"173","113019-K",3.627652293,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","3",10,"10","1","0","","CP","Large"
"174","113019-K",3.627652293,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","4",6,"10","0","0","","CP","Large"
"175","113019-K",3.627652293,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","5",8,"10","0","0","","CP","Large"
"176","113019-G",4.292950034,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"177","113019-G",4.292950034,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"178","113019-G",4.292950034,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","3",10,"11","0","0","","CP","Large"
"179","113019-G",4.292950034,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","4",6,"8","0","0","","CP","Large"
"180","113019-G",4.292950034,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","5",8,"13","0","0","","CP","Large"
"181","113019-M",4.525667351,"F","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","1",4,"4","1","0","","Subset","Small"
"182","113019-M",4.525667351,"F","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","2",3,"4","0","1","","Subset","Small"
"183","113019-M",4.525667351,"F","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","3",8,"10","0","0","","Subset","Large"
"184","113019-M",4.525667351,"F","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","4",6,"6","1","0","","Subset","Large"
"185","113019-M",4.525667351,"F","LAK","LAK","English",0,"","3","B","SHARING","Set-matching","5",10,"10","1","1","","Subset","Large"
"186","113019-LK",5.059548255,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"187","113019-LK",5.059548255,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"188","113019-LK",5.059548255,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","3",10,"11","0","0","","CP","Large"
